ID,Capture method,Name,State,Site,Latitude,Longitude,Date,Ambient temp,Sex,Female breeding condition ,Mass (kg),Mass estimated,Body condition score,Stress level ,Drug(s),Dose: Zoletil (mL),Dose: Zoletil (mg/kg),Dose: Xylazine (mL),Dose: Xylazine (mg/kg),Dose: yohimbine (mg),Dose: yohimbine (mg/kg),Dose:atipamezole (mg),Dose:atipamezole (mg/kg),Drug admin site,Induction duration (min:sec),Induction duration (min),Depth Of Anaesthesia,Temp_body,Hyperthermia (Y/N),Respiratory rate ,Respiratory depth ,Heart rate ,Time of restraint,Time of release,Handling duration (min:sec),Handling duration (min),Time standing,Recovery duration (min:sec),Notes on recovery,Reversal time (min),Total duration (min:sec),Total duration (min),Injury,Injury type,n_in_trap,tags_in_trap,last_usable_fix,collar_in_hand,mortality,Collar end date,Capture-death duration,Collar shed,fate,notes_on_collar_recovery,notes_on_capture,Doses,Collar data,,,,,,,,,
DM26,Pole syringe,NTLLS FMD Collared Pig 16,NSW,Glenmore,-29.48262,151.25631,2/28/2023,19,f,Lactating ,33.60,,45414,Low ,Zoletil,2.00,5.95,,,,,,,Rump,03:00,,Deep,36.4,N,Normal,Normal,,2/28/2023 7:10,2/28/2023 7:31,21:08,21.13,2/28/2023 8:31,0:59:58,,,1:24:06,24.10,0,,,,,,,,,,,,,,,,,,,,,,,
DM25,Pole syringe,NTLLS FMD Collared Pig 15,NSW,Glenorchy,-29.506635,151.2098,2/27/2023,31,m,-None Selected-,55.60,,45415,Low ,Zoletil,2.00,3.60,,,,,,,Rump,04:00,,Deep,39.8,N,Slow,Shallow,,2/27/2023 12:13,2/27/2023 12:44,30:17,30.28,2/27/2023 13:49,1:05:12,,,1:39:29,39.48,0,,,,,,,,,,,,,,,,,,,,,,,
DM24,Pole syringe,NTLLS FMD Collared Pig 14,NSW,Kahmoo,-29.551705,151.240547,2/22/2023,27,m,-None Selected-,67.20,,45416,Low ,Zoletil,2.00,2.98,,,,,,,Rump,04:00,,Good,38,N,Normal,Normal,,2/22/2023 10:16,2/22/2023 10:35,18:14,18.23,2/22/2023 11:30,0:55:01,,,1:17:15,17.25,0,,,,,,,,,,,,,,,,,,,,,,,
DM53,Pole syringe,Eastern Collared Pig 64,NSW,Starlight,-29.941093,152.173843,2/20/2023,24,m,-None Selected-,63.00,,45416,High,Zoletil,2.10,3.33,,,,,,,Rump,03:00,,Good,40.3,Y,Normal,Deep,,2/20/2023 13:50,2/20/2023 14:08,18:06,18.10,2/20/2023 15:12,1:04:08,,,1:25:14,25.23,0,,,,,,,,,,,,,,,,,,,,,,,
DM52,Pole syringe,Eastern Collared Pig 63,NSW,Starlight ,-29.941294,152.173881,2/17/2023,20,f,Lactating ,51.40,,45415,Moderate ,Zoletil,2.00,3.89,,,,,,,Rump,03:00,,Good,40.1,Y,Normal,Normal,,2/17/2023 7:44,2/17/2023 8:08,24:06,24.10,2/17/2023 8:39,0:31:11,,,0:58:17,58.28,0,,,,,,,,,,,,,,,,,,,,,,,
DM22,Pole syringe,NTLLS FMD Collared Pig 12,NSW,Kashmir,-29.53278,151.256966,2/14/2023,23.9,m,-None Selected-,50.40,,45415,Low ,Zoletil,2.20,4.37,,,,,,,Rump,05:00,,Good,39.8,N,Normal,Shallow,,2/10/2023 8:52,2/10/2023 9:07,14:58,14.97,2/10/2023 11:15,2:07:56,,,2:27:54,27.90,0,,,,,,,,,,,,,,,,,,,,,,,
DM51,Pole syringe,EasternCollared Pig 67,NSW,Oakwood,-29.891713,152.041384,2/9/2023,15,m,-None Selected-,86.20,,45417,Moderate ,Zoletil,2.20,2.55,,,,,,,Rump,04:00,,Good,41.5,Y,Normal,Normal,,2/9/2023 6:45,2/9/2023 7:10,25:18,25.30,2/9/2023 7:36,0:26:01,,,0:55:19,55.32,0,,,,,,,,,,,,,,,,,,,,,,,
DM50,Pole syringe,EasternCollared Pig 66,NSW,Indigo ,-29.982486,152.137736,2/8/2023,22,m,-None Selected-,74.40,,45417,Low ,Zoletil,2.00,2.69,,,,,,,Rump,03:00,,Good,41.2,Y,Normal,Normal,,2/8/2023 8:26,2/8/2023 8:46,19:38,19.63,2/8/2023 9:19,0:32:32,,,0:55:10,55.17,0,,,,,,,,,,,,,,,,,,,,,,,
DM21,Pole syringe,NTLLS FMD Collared Pig 11,NSW,Tower Hill,-29.499634,151.254698,2/3/2023,28,f,Lactating ,50.60,,45415,Moderate ,Zoletil,2.00,3.95,,,,,,,Rump,03:00,,Good,41.7,Y,Normal,Normal,,2/3/2023 8:53,2/3/2023 8:53,00:02,0.03,2/3/2023 10:33,1:39:30,,,1:42:31,42.52,1,Snot was coming out of snout while under the drug,,,,,,,,,,,,,,,,,,,,,,
DM20,Pole syringe,NTLLS FMD Collared Pig 10,NSW,Kahmoo,-29.551826,151.240898,2/2/2023,29,m,-None Selected-,39.60,,45415,Low ,Zoletil,2.00,5.05,,,,,,,Rump,03:00,,Deep,40.1,Y,Normal,Normal,,2/2/2023 13:38,2/2/2023 13:54,16:14,16.23,2/2/2023 13:55,0:01:28,,,0:20:42,20.70,0,,,,,,,,,,,,,,,,,,,,,,,
