ID,Capture method,Name,State,Site,Latitude,Longitude,Date,,,,,,,,
DM26,Pole syringe,NTLLS FMD Collared Pig 16,NSW,Glenmore,-29.48262,151.25631,28/02/2023,,,,,,,,
DM25,Pole syringe,NTLLS FMD Collared Pig 15,NSW,Glenorchy,-29.506635,151.2098,27/02/2023,,,,,,,,
DM24,Pole syringe,NTLLS FMD Collared Pig 14,NSW,Kahmoo,-29.551705,151.240547,22/02/2023,,,,,,,,
DM53,Pole syringe,Eastern Collared Pig 64,NSW,Starlight,-29.941093,152.173843,20/02/2023,,,,,,,,
DM52,Pole syringe,Eastern Collared Pig 63,NSW,Starlight ,-29.941294,152.173881,17/02/2023,,,,,,,,
DM22,Pole syringe,NTLLS FMD Collared Pig 12,NSW,Kashmir,-29.53278,151.256966,14/02/2023,,,,,,,,
DM51,Pole syringe,EasternCollared Pig 67,NSW,Oakwood,-29.891713,152.041384,9/02/2023,,,,,,,,
DM50,Pole syringe,EasternCollared Pig 66,NSW,Indigo ,-29.982486,152.137736,8/02/2023,,,,,,,,
DM21,Pole syringe,NTLLS FMD Collared Pig 11,NSW,Tower Hill,-29.499634,151.254698,3/02/2023,,,,,,,,
DM20,Pole syringe,NTLLS FMD Collared Pig 10,NSW,Kahmoo,-29.551826,151.240898,2/02/2023,,,,,,,,
DM19,Pole syringe,NTLLS FMD Collared Pig 9,NSW,Windorah,-29.474975,151.213451,2/02/2023,,,,,,,,
DM16,Pole syringe,NTLLS FMD Collared Pig 6,NSW,Maryland,-29.548622,151.321042,25/01/2023,,,,,,,,
DM11,Pole syringe,NTLLS FMD Collared Pig 1,NSW,Windorah ,-29.475275,151.213568,17/01/2023,,,,,,,,
DM49,Pole syringe,Eastern Collared Pig 29,NSW,Brown spur,-29.881327,152.279996,18/12/2022,,,,,,,,
DM48,Pole syringe,Eastern Collared Pig 61,NSW,Bowen’s NP Guy fawkes ,-29.91586,152.167986,16/09/2022,,,,,,,,
DM47,Pole syringe,Eastern Collared Pig 60,NSW,Glen nevis,-29.923135,152.194711,11/09/2022,,,,,,,,
DM44,Pole syringe,Eastern Collared Pig 57,NSW,Chard panel trap. Baileys property ,-29.897948,152.121885,7/09/2022,,,,,,,,
DM42,Pole syringe,Eastern Collared Pig 55,NSW,Guy fawkes,-29.920478,152.102483,6/09/2022,,,,,,,,
DM38,Pole syringe,Eastern Collared Pig 100,NSW,Darren’s place,-29.802945,151.926895,22/07/2022,,,,,,,,
DM155,Pole syringe,Alpine Collared Pig 16,NSW,Shellgrove,-36.244652,149.336302,29/06/2022,,,,,,,,
DM154,Pole syringe,Alpine Collared Pig 15,NSW,Shell grove,-36.244688,149.336299,28/06/2022,,,,,,,,
DM153,Pole syringe,Alpine Collared Pig 14,NSW,Badaja mill,-36.058014,149.541665,28/06/2022,,,,,,,,
DM152,Pole syringe,Alpine Collared Pig 13,NSW,Baja mill,-36.058169,149.541665,28/06/2022,,,,,,,,
