id,collar_shed,admin_loc2,doses
DM26,NA,NA,NA
DM25,NA,NA,NA
DM24,NA,NA,NA
DM53,NA,NA,NA
DM52,NA,NA,NA
DM22,NA,NA,NA
DM51,NA,NA,NA
DM50,NA,NA,NA
DM21,NA,NA,NA
DM20,NA,NA,NA
DM19,NA,NA,NA
DM16,NA,NA,NA
DM11,NA,NA,NA
DM49,NA,NA,NA
DM48,NA,NA,NA
DM47,NA,NA,NA
DM44,NA,NA,NA
DM42,NA,NA,NA
DM38,NA,NA,NA
DM155,NA,NA,NA
DM154,NA,NA,NA
DM153,NA,NA,NA
DM152,NA,NA,NA
DM151,NA,NA,NA
DM150,NA,NA,NA
DM149,NA,NA,NA
DM79,NA,NA,NA
DM78,NA,NA,NA
DM148,NA,NA,NA
DM147,NA,NA,NA
DM146,NA,NA,NA
DM37,NA,NA,NA
DM41,NA,NA,NA
DM33,NA,NA,NA
DM145,NA,NA,NA
DM32,NA,NA,NA
DM29,NA,NA,NA
DM77,NA,NA,NA
DM76,NA,NA,NA
DM75,NA,NA,NA
DM144,NA,NA,NA
DM143,NA,NA,NA
DM142,NA,NA,NA
DM141,NA,NA,NA
DM140,NA,NA,NA
DM139,NA,NA,NA
DM138,NA,NA,NA
DM137,NA,NA,NA
DM136,NA,NA,NA
DM135,NA,NA,NA
DM134,NA,NA,NA
DM133,NA,NA,NA
DM132,NA,NA,NA
DM131,NA,NA,NA
DM130,NA,NA,NA
DM129,NA,NA,NA
DM128,NA,NA,NA
DM126,NA,NA,NA
DM125,NA,NA,NA
DM124,NA,NA,NA
DM123,NA,NA,NA
DM122,NA,NA,NA
DM74,NA,NA,NA
DM73,NA,NA,NA
DM72,NA,NA,NA
DM71,NA,NA,NA
DM120,NA,NA,NA
DM119,NA,NA,NA
DM118,NA,NA,NA
DM117,NA,NA,NA
DM116,NA,NA,NA
DM114,NA,NA,NA
DM113,NA,NA,NA
DM112,NA,NA,NA
DM111,NA,NA,NA
DM110,NA,NA,NA
DM109,NA,NA,NA
DM108,NA,NA,NA
DM107,NA,NA,NA
DM106,NA,NA,NA
DM104,NA,NA,NA
DM105,NA,NA,NA
DM103,NA,NA,NA
DM102,NA,NA,NA
DM98,NA,NA,NA
DM97,NA,NA,NA
DM96,NA,NA,NA
DM95,NA,NA,NA
DM94,NA,NA,NA
DM93,NA,NA,NA
DM92,NA,NA,NA
DM90,NA,NA,NA
DM100,NA,NA,NA
AB35,NA,NA,NA
AB31,NA,NA,NA
DM115,NA,NA,NA
DM127,NA,NA,NA
AB52,NA,NA,NA
AB44,NA,NA,NA
SC10,NA,NA,NA
AB33,NA,NA,NA
AB65,NA,NA,NA
AB36,NA,NA,NA
AB20,NA,NA,NA
AB57,NA,NA,NA
AB03,NA,NA,NA
DM27,NA,NA,NA
DM23,NA,NA,NA
AB74,NA,NA,NA
AB66,NA,NA,NA
DM18,NA,NA,NA
DM36,NA,NA,NA
