collar_id,site,treatment,start,end,day,fix,success,kept,reason,outlier step,outlier dist
44985,MH,pole,25/10/2021 21:00,24/11/2021 11:00,31,620,0.833333333,Y,,Y-female,
150695,EF,pole,19/09/2022 18:00,19/10/2022 18:00,31,666,0.89516129,Y,,Y-male,
150773,EF,pole,7/09/2022 18:00,7/10/2022 17:00,31,654,0.879032258,Y,,Y-male,Y-male
PC057,WAGA,darting,26/04/2018 10:00,26/05/2018 10:00,31,653,0.877688172,Y,,Y-female,Y-female
81767,nimmie,manual,17/03/2021 11:00,16/04/2021 10:00,31,486,0.653225806,N,low quality,,
150768,EF,pole,26/02/2023 21:00,28/03/2023 18:00,31,309,0.415322581,N,low quality,,
150774,EF,pole,18/12/2022 22:00,17/01/2023 19:00,31,313,0.420698925,N,low quality,,
150815,willowtree,manual,19/12/2022 8:00,17/01/2023 22:00,30,221,0.306944444,N,low quality,,
181765,booligal,manual,21/10/2021 10:00,18/11/2021 1:00,29,402,0.577586207,N,low quality,,
PC001,WANC,darting,29/11/2014 20:00,28/12/2014 9:00,30,199,0.276388889,N,low quality,,
PC010,WANC,darting,25/04/2015,25/05/2015,31,411,0.552419355,N,low quality,,
PC016,WANC,darting,29/05/2015 19:00,28/06/2015 2:00,31,440,0.591397849,N,low quality,,
PC022,WAPR,darting,31/12/2015 22:00,30/01/2016 21:00,31,419,0.563172043,N,low quality,,
PC063,WANA,darting,13/12/2019 3:00,8/01/2020 17:00,27,403,0.62191358,N,low quality,,
PC118,WANA,darting,23/08/2007 22:00,22/09/2007 21:00,31,364,0.489247312,N,low quality,,
PC121,WANA,darting,21/08/2007 22:00,20/09/2007 14:00,31,377,0.50672043,N,low quality,,
42219,AV,pole,4/11/2020 12:00,25/11/2020 11:00,22,487,0.922348485,N,not enough days,,
81765,napnap,manual,17/03/2021 8:00,17/03/2021 8:00,1,1,0.041666667,N,not enough days,,
88823,booligal,manual,29/10/2021 8:00,19/11/2021 4:00,22,184,0.348484848,N,not enough days,,
88826,booligal,manual,21/10/2021 9:00,14/11/2021 21:00,25,510,0.85,N,not enough days,,
88828,booligal,manual,19/10/2021 8:00,10/11/2021 20:00,23,183,0.331521739,N,not enough days,,
153214,Yantabulla,manual,19/09/2023 9:00,29/09/2023 21:00,11,230,0.871212121,N,not enough days,,
