ID,Capture method,Name,State,Site,Latitude,Longitude,Date,Ambient temp,Sex,Female breeding condition ,Mass (kg),Mass estimated,Body condition score,Stress level ,Drug(s),Dose: Zoletil (mL),Dose: Zoletil (mg/kg),Dose: Xylazine (mL),Dose: yohimbine (mg),Dose: yohimbine (mg/kg),Dose:atipamezole (mg),Dose:atipamezole (mg/kg),Drug admin site,induction_min,Depth Of Anaesthesia,Temp_body,Hyperthermia (Y/N),Respiratory rate ,Respiratory depth ,Heart rate ,Time of restraint,Time of release,Handling duration (min),Time standing,Recovery duration (min:sec),NA,Notes on recovery,Reversal time (min),Total duration (min:sec),Total duration (min),Injury,Injury type,n_in_trap,tags_in_trap,last_usable_fix,collar_in_hand,death_date,mortality,Collar end date,CaptureNAdeath duration,fate,collar_slip,notes_on_collar_recovery,notes_on_capture,Collar data
AB01,Manual,NA,NSW,Yantabulla,-29.257851,144.977894,20/09/2023 6:30,16.6,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4,N,NA,NA,NA,20/09/2023 6:45,20/09/2023 6:48,2.4,NA,NA,NA,NA,NA,0:18:01,18.02,0,NA,NA,NA,1/03/2024 10:00,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA
AB02,Manual,NA,NSW,willowtree,-31.822863,150.503893,1/12/2022 7:02,15.6,f,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1,N,NA,NA,NA,1/12/2022 7:17,1/12/2022 7:21,4.03,NA,NA,NA,NA,NA,0:19:50,19.83,1,small cut rh shoulder,3,NA,18/06/2023 4:00,NA,5/03/2024,5/03/2024 8:00,NA,460.04,dead_shotdpi,NA,NA,NA,NA
AB03,Manual,NA,NSW,Yantabulla,-29.252607,144.981766,20/09/2023 6:15,17.7,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,N,NA,NA,NA,20/09/2023 6:20,20/09/2023 6:21,0.47,NA,NA,NA,NA,NA,0:06:13,6.22,0,NA,NA,NA,25/11/2023 10:00,NA,26/11/2023,26/11/2023 21:02,NA,67.62,dead_unknown,NA,NA,NA,NA
AB04,Manual,NA,NSW,willowtree,-31.822863,150.503893,2/12/2022 7:14,13.4,f,pregnant,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,N,NA,NA,NA,2/12/2022 7:21,2/12/2022 7:24,3.33,NA,NA,NA,NA,NA,0:10:45,10.75,1,NA,2,NA,9/03/2023 2:01,NA,NA,NA,NA,NA,unknown_collarslip,97,Collar slipped off pig,NA,NA
AB05,Manual,NA,NSW,willowtree,-31.786464,150.520252,2/12/2022 6:12,14.8,m,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9,N,NA,NA,NA,NA,2/12/2022 6:20,NA,NA,NA,NA,NA,NA,0:08:40,8.67,1,NA,1,NA,22/06/2023 21:00,NA,22/06/2023,22/06/2023 21:00,NA,202.62,dead_shotlandholder,NA,NA,NA,NA
AB06,Manual,NA,NSW,Yantabulla,-29.256285,144.973616,21/09/2023 0:00,18.9,m,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1,N,NA,NA,NA,21/09/2023 6:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2/08/2024 6:00,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA
AB07,Manual,NA,NSW,Yantabulla,-29.254101,144.971346,21/09/2023 7:10,18.8,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA,NA,NA
AB08,Manual,NA,NSW,Yantabulla,-29.257809,144.977931,21/09/2023 6:10,19.8,f,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,N,NA,NA,NA,21/09/2023 6:23,21/09/2023 6:31,8.43,NA,NA,NA,NA,NA,0:21:51,21.85,0,NA,NA,NA,22/04/2024 9:00,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA
AB09,Manual,NA,NSW,Yantabulla,-29.257883,144.977942,19/09/2023 6:55,17.4,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,N,NA,NA,NA,19/09/2023 7:14,19/09/2023 7:18,4.32,NA,NA,NA,NA,NA,0:23:19,23.32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA,NA,NA
AB10,Manual,NA,NSW,willowtree,-31.822863,150.503893,30/11/2022 6:56,15.6,m,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8,N,NA,NA,NA,30/11/2022 7:04,30/11/2022 7:07,2.47,NA,NA,NA,NA,NA,0:11:15,11.25,0,NA,5,NA,29/10/2023 10:00,NA,30/10/2023,30/10/2023 0:00,NA,333.71,dead_shothunter,NA,NA,NA,NA
AB11,Manual,NA,NSW,willowtree,-31.822863,150.503893,1/12/2022 7:02,15.6,f,pregnant,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8,N,NA,NA,NA,1/12/2022 7:10,1/12/2022 7:14,4.57,NA,NA,NA,NA,NA,0:12:46,12.77,1,broken skin on snout. ,3,NA,9/03/2023 12:03,NA,NA,NA,NA,NA,unknown_collarslip,98,Collar slipped off pig,Mort alert 19/12/2022 NA farrowing?,NA
AB12,Manual,NA,NSW,willowtree,-31.822863,150.503893,30/11/2022 6:56,15.5,m,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8,N,NA,NA,NA,30/11/2022 7:07,30/11/2022 7:11,3.97,NA,NA,NA,NA,NA,0:15:24,15.4,0,NA,1,NA,20/07/2023 9:00,NA,NA,NA,NA,NA,dead_unknown,NA,NA,NA,NA
AB13,Manual,NA,NSW,Yantabulla,-29.29163,144.962412,20/09/2023 7:40,18.3,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,N,NA,NA,NA,20/09/2023 7:54,20/09/2023 7:59,4.72,NA,NA,NA,NA,NA,0:19:03,19.05,0,NA,NA,NA,10/01/2024 10:00,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA
AB14,Manual,NA,NSW,Yantabulla,-29.296027,144.979284,21/09/2023 8:38,21.7,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,N,NA,NA,NA,21/09/2023 8:51,21/09/2023 8:57,5.62,NA,NA,NA,NA,NA,0:19:03,19.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA,shot 2 pigs due to welfare reasons (extremely poor condition) in trap,NA
AB15,Manual,NA,NSW,willowtree,-31.786464,150.520252,30/11/2022 6:15,15.4,m,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1,N,NA,NA,NA,30/11/2022 6:29,30/11/2022 6:31,2.23,NA,NA,NA,NA,NA,0:16:24,16.4,1,bloody nose,1,NA,28/10/2023 10:00,NA,28/10/2023,28/10/2023 10:00,NA,332.16,dead_shothunter,NA,NA,NA,NA
AB16,Manual,NA,NSW,napnap,-34.496248,144.204335,16/03/2021 8:23,na,m,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2,N,NA,NA,NA,16/03/2021 8:29,16/03/2021 8:56,26.62,NA,NA,NA,NA,NA,0:33:22,33.37,1,"bloody nose, but no visible skin break",1,NA,16/09/2021 5:00,NA,9/12/2021,9/12/2021 0:00,NA,267.65,dead_shotlandholder,NA,NA,NA,NA
AB17,Manual,NA,NSW,willowtree,-31.822863,150.503893,30/11/2022 6:56,15.6,m,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,N,NA,NA,NA,30/11/2022 7:08,30/11/2022 7:12,4.18,NA,NA,NA,NA,NA,0:16:57,16.95,0,NA,5,NA,2/05/2023 10:00,NA,3/05/2023,3/05/2023 0:16,NA,153.72,unknown_collarslip,153,NA,NA,NA
AB18,Manual,NA,NSW,Yantabulla,-29.55402,144.971334,19/09/2023 7:35,23.8,f,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,N,NA,NA,NA,19/09/2023 7:53,19/09/2023 7:55,1.97,NA,NA,NA,NA,NA,0:20:28,20.47,0,NA,NA,NA,11/05/2024 1:00,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA
AB19,Manual,NA,NSW,booligal,-33.813667,144.738014,20/10/2021 8:25,16.9,m,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,N,NA,NA,NA,20/10/2021 8:32,20/10/2021 8:36,4.17,NA,NA,NA,NA,NA,0:11:17,11.28,0,NA,3,NA,30/01/2023 12:00,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA
AB20,Manual,NA,NSW,willowtree,-31.822863,150.503893,30/11/2022 6:56,15.6,m,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,N,NA,NA,NA,30/11/2022 7:26,30/11/2022 7:30,3.9,NA,NA,NA,NA,NA,0:34:12,34.2,0,NA,5,NA,24/01/2023 6:00,NA,24/01/2023,24/01/2023 20:00,NA,55.54,dead_shotlandholder,NA,caught by Michael P's dogs on 2023NA01NA23,went for a long swim in the dam after release,NA
AB21,Manual,NA,NSW,Yantabulla,-29.303716,144.950247,19/09/2023 9:22,28.8,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,N,NA,NA,NA,19/09/2023 9:26,19/09/2023 9:29,2.3,NA,NA,NA,NA,NA,0:07:03,7.05,0,NA,NA,NA,10/01/2024 10:00,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA
AB22,Manual,NA,NSW,booligal,-33.813679,144.810974,19/10/2021 7:55,11.9,f,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.6,N,NA,NA,NA,19/10/2021 8:00,19/10/2021 8:06,6.33,NA,NA,NA,NA,NA,0:11:40,11.67,0,NA,5,NA,30/01/2023 16:00,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA
AB23,Manual,NA,NSW,nimmie,-34.5159647,144.034904,17/03/2021 10:26,na,f,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7,N,NA,NA,NA,17/03/2021 10:28,17/03/2021 10:32,4.7,NA,NA,NA,NA,NA,0:06:46,6.77,0,NA,4,NA,29/06/2021 9:00,NA,30/06/2021,30/06/2021 0:00,NA,104.57,dead_unknown,NA,NA,NA,NA
AB24,Manual,NA,NSW,Yantabulla,-29.252558,144.981828,19/09/2023 6:15,17.9,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7,N,NA,NA,NA,19/09/2023 6:31,19/09/2023 6:35,4,NA,NA,NA,NA,NA,0:20:18,20.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA,NA,NA
AB25,Manual,NA,NSW,Yantabulla,-29.256353,144.973638,21/09/2023 7:00,15.6,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.9,N,NA,NA,NA,21/09/2023 7:12,21/09/2023 7:13,1.5,NA,NA,NA,NA,NA,0:13:45,13.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA,NA,NA
